Unique_ID,Patient_BSN,Age,Gender,Medical_Department,Length_of_Stay,Admission_Day,Admission_Month,Admission_Hour,Day_of_Week,Diagnosis_Code,Treatment_Cost,Height_cm,Weight_kg,BMI,Previous_Admissions_Count,Insurance_Level,Systolic_BP,Diastolic_BP,Heart_Rate,Temperature_C,Respiratory_Rate,Oxygen_Saturation,Blood_Glucose,Cholesterol_Total,Cholesterol_LDL,Cholesterol_HDL,Hemoglobin,White_Blood_Cell_Count,Platelet_Count,Creatinine_Level,Liver_Enzyme_ALT,Medication_Count,Lab_Test_Count,Imaging_Study_Count,Surgery_Count,ICU_Days,Physical_Therapy_Sessions,Rehabilitation_Sessions,Pain_Score_Admission,Pain_Score_Discharge,Complication_Score,Readmission_Risk_Score,Treatment_Success_Score,Patient_Satisfaction,Staff_Satisfaction,Blood_Transfusion_Units,Number_of_Visitors,Follow_up_Appointments,Room_Type,Waiting_Time_Minutes,ER_Time_Minutes,Emergency_Level,ICU_Need,PT_Need,Transfusion_Need
1,221958,62,0,1,4,15,9,17,3,3,7333,172,53,27,0,4,131,74,70,37,15,94,85,126,131,45,14,5765,250477,0,20,3,5,0,0,1,3,0,8,6,2,37,100,68,91,1,5,2,2,29,58,3,0,0,0
2,771155,49,0,4,5,10,6,19,4,6,4018,165,71,23,1,3,157,73,80,37,18,95,112,177,105,62,12,6475,174681,0,44,0,4,2,0,0,3,0,5,5,1,82,89,77,88,0,1,3,2,11,39,1,1,0,1
3,231932,58,1,4,7,23,6,1,7,6,4082,168,94,20,1,4,138,77,76,37,16,95,101,135,127,40,12,7308,272815,0,32,2,3,1,1,0,1,2,6,6,2,27,82,77,80,0,7,1,1,59,11,1,0,0,1
4,465838,57,0,3,4,22,9,4,1,6,7012,174,65,23,0,2,125,68,58,36,13,100,90,178,117,63,13,10439,334358,1,18,0,4,3,2,2,0,0,3,0,3,34,78,44,77,2,6,3,2,5,82,3,1,1,0
5,359178,64,0,5,6,2,7,15,6,6,2619,152,59,21,1,3,122,86,66,37,14,95,100,204,124,59,14,4695,274599,1,14,4,5,1,1,4,1,0,2,0,1,51,77,46,73,0,4,1,3,55,10,1,1,0,0
6,744167,70,1,1,4,27,1,10,4,5,7728,170,74,28,0,1,103,74,80,36,13,96,102,161,88,58,14,5829,281518,0,24,0,4,1,1,1,1,0,5,2,0,18,77,87,79,0,7,1,2,0,62,1,0,1,1
7,210268,51,1,3,7,12,2,0,5,4,6530,163,80,22,0,4,114,64,69,37,16,94,108,188,68,49,13,6879,283821,1,19,2,7,0,1,4,0,2,4,2,3,59,83,48,94,0,3,2,3,36,48,1,0,1,0
8,832180,50,0,1,10,12,7,8,2,3,5685,161,81,26,0,2,133,75,77,38,12,97,97,220,82,49,13,7449,252948,1,34,4,6,0,1,0,7,1,7,6,1,34,99,95,73,1,0,3,3,30,112,1,1,0,1
9,154886,58,1,5,2,6,7,3,6,5,3239,171,105,20,0,2,99,65,86,37,21,99,109,184,94,74,12,4000,298503,2,37,7,6,2,0,0,6,2,3,0,1,35,79,100,98,2,5,1,1,11,45,2,0,0,1
10,237337,50,0,3,3,12,11,0,1,3,3152,166,79,21,0,3,96,64,54,37,15,97,111,227,136,44,15,4172,230130,0,24,2,3,3,0,7,3,0,0,0,2,27,79,50,74,0,2,2,1,43,95,1,0,0,1
